part,category,url,status,file
cd4024b,Logic_CD4000,https://www.ti.com/lit/ds/symlink/cd4024b.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_CD4000/cd4024b.pdf
cd4026b,Logic_CD4000,https://www.ti.com/lit/ds/symlink/cd4026b.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_CD4000/cd4026b.pdf
cd4027b,Logic_CD4000,https://www.ti.com/lit/ds/symlink/cd4027b.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_CD4000/cd4027b.pdf
cd4028b,Logic_CD4000,https://www.ti.com/lit/ds/symlink/cd4028b.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_CD4000/cd4028b.pdf
cd4029b,Logic_CD4000,https://www.ti.com/lit/ds/symlink/cd4029b.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_CD4000/cd4029b.pdf
cd4040b,Logic_CD4000,https://www.ti.com/lit/ds/symlink/cd4040b.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_CD4000/cd4040b.pdf
cd4047b,Logic_CD4000,https://www.ti.com/lit/ds/symlink/cd4047b.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_CD4000/cd4047b.pdf
cd4050b,Logic_CD4000,https://www.ti.com/lit/ds/symlink/cd4050b.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_CD4000/cd4050b.pdf
cd4051b,Logic_CD4000,https://www.ti.com/lit/ds/symlink/cd4051b.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_CD4000/cd4051b.pdf
cd4052b,Logic_CD4000,https://www.ti.com/lit/ds/symlink/cd4052b.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_CD4000/cd4052b.pdf
cd4053b,Logic_CD4000,https://www.ti.com/lit/ds/symlink/cd4053b.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_CD4000/cd4053b.pdf
cd4060b,Logic_CD4000,https://www.ti.com/lit/ds/symlink/cd4060b.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_CD4000/cd4060b.pdf
cd4066b,Logic_CD4000,https://www.ti.com/lit/ds/symlink/cd4066b.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_CD4000/cd4066b.pdf
cd4070b,Logic_CD4000,https://www.ti.com/lit/ds/symlink/cd4070b.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_CD4000/cd4070b.pdf
cd4071b,Logic_CD4000,https://www.ti.com/lit/ds/symlink/cd4071b.pdf,ok,/sessions/6a187d0dea35b5946776437b/workspace/datasheets_100/by_category/Logic_CD4000/cd4071b.pdf
